	Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	PR_AUC_avg	PR_AUC_std
0	DecisionTree	1.309	0.002	0.898	0.002	-1.543	0.031	0.113	0.002	0.278	0.004
1	RandomForest	0.71	0.0	0.477	0.0	0.252	0.0	0.52	0.0	0.457	0.001
2	ExtraTrees	0.656	0.0	0.435	0.0	0.362	0.0	0.607	0.0	0.538	0.0
3	Bagging	0.707	0.0	0.474	0.0	0.258	0.0	0.526	0.0	0.462	0.0
4	AdaBoost	1.191	0.002	0.963	0.002	-1.106	0.026	0.2	0.003	0.229	0.002
5	GradientBoost	0.716	0.0	0.521	0.0	0.24	0.0	0.54	0.0	0.466	0.0
6	SVR	0.85	0.0	0.501	0.0	-0.071	0.0	0.294	0.0	0.296	0.0
7	ElasticNet	0.826	0.0	0.521	0.0	-0.013	0.0	0.196	0.0	0.252	0.0
8	Lasso	0.818	0.0	0.515	0.0	0.007	0.0	0.213	0.0	0.268	0.0
9	MLP	1.155	0.025	0.828	0.025	-1.017	0.3	0.202	0.012	0.277	0.006
