Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	3.402	1.391	1.413	0.254	-6.538	5.497	0.025	0.046	0.224	0.012
DecisionTree	1.608	0.096	1.076	0.037	-0.458	0.208	0.277	0.034	0.29	0.03
AdaBoost	1.534	0.053	1.139	0.058	-0.323	0.113	0.17	0.101	0.257	0.017
Lasso	1.337	0.049	0.92	0.007	-0.0	0.015	0.088	0.042	0.245	0.027
ElasticNet	1.336	0.049	0.918	0.007	0.001	0.016	0.103	0.04	0.246	0.023
SVR	1.316	0.046	0.901	0.003	0.03	0.015	0.182	0.045	0.274	0.034
GradientBoost	1.171	0.061	0.783	0.013	0.23	0.078	0.493	0.059	0.43	0.006
RandomForest	1.141	0.059	0.76	0.013	0.27	0.065	0.537	0.066	0.449	0.025
Bagging	1.139	0.055	0.761	0.013	0.272	0.059	0.539	0.062	0.447	0.024
ExtraTrees	1.114	0.074	0.723	0.02	0.302	0.086	0.563	0.063	0.48	0.037
