Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	1.951	0.528	0.03	0.034	0.221	0.036
DecisionTree	1.608	0.078	0.352	0.101	0.316	0.012
AdaBoost	1.501	0.141	0.172	0.102	0.234	0.014
Lasso	1.322	0.137	0.114	0.043	0.226	0.026
ElasticNet	1.319	0.139	0.132	0.049	0.231	0.022
SVR	1.302	0.14	0.203	0.038	0.27	0.029
GradientBoost	1.186	0.133	0.48	0.044	0.407	0.036
Bagging	1.147	0.131	0.523	0.057	0.467	0.046
RandomForest	1.146	0.133	0.523	0.052	0.463	0.046
ExtraTrees	1.132	0.146	0.533	0.064	0.487	0.038
