Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
DecisionTree	2.042	0.23	-0.003	0.06	0.183	0.048
RandomForest	1.388	0.228	-0.004	0.062	0.21	0.017
ExtraTrees	1.361	0.234	0.049	0.066	0.223	0.024
Bagging	1.387	0.23	-0.007	0.059	0.214	0.017
AdaBoost	1.535	0.168	0.034	0.11	0.218	0.04
GradientBoost	1.443	0.204	0.041	0.071	0.222	0.045
SVR	1.327	0.243	0.062	0.04	0.218	0.038
ElasticNet	1.356	0.243	0.008	0.087	0.194	0.033
Lasso	1.35	0.246	-0.003	0.067	0.19	0.036
MLP	2.341	0.362	-0.034	0.05	0.188	0.05
