Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
DecisionTree	2.046	0.223	-0.031	0.079	0.183	0.048
RandomForest	1.436	0.29	0.008	0.102	0.21	0.017
ExtraTrees	1.437	0.283	0.004	0.068	0.223	0.024
Bagging	1.437	0.288	-0.003	0.095	0.214	0.017
AdaBoost	1.591	0.268	0.078	0.064	0.218	0.04
GradientBoost	1.518	0.295	-0.007	0.077	0.222	0.045
SVR	1.408	0.291	0.072	0.034	0.218	0.038
ElasticNet	1.453	0.278	-0.075	0.098	0.194	0.033
Lasso	1.44	0.28	-0.052	0.097	0.19	0.036
MLP	2.118	0.345	0.045	0.041	0.188	0.05
