Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	4.684	4.267	0.036	0.093	0.232	0.052
DecisionTree	1.859	0.207	0.039	0.056	0.188	0.052
AdaBoost	1.562	0.145	0.024	0.044	0.213	0.045
GradientBoost	1.419	0.213	0.075	0.04	0.235	0.035
ElasticNet	1.358	0.214	-0.018	0.02	0.188	0.035
Lasso	1.351	0.213	-0.022	0.021	0.188	0.034
Bagging	1.334	0.212	0.115	0.048	0.274	0.052
SVR	1.331	0.215	0.076	0.039	0.217	0.048
RandomForest	1.328	0.21	0.125	0.045	0.278	0.057
ExtraTrees	1.327	0.205	0.161	0.075	0.3	0.06
