Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	2.615	1.852	0.039	0.044	0.183	0.089
DecisionTree	1.703	0.203	0.022	0.031	0.234	0.089
AdaBoost	1.395	0.252	-0.07	0.043	0.194	0.13
GradientBoost	1.233	0.278	0.07	0.109	0.191	0.123
Bagging	1.192	0.23	0.018	0.054	0.186	0.123
ElasticNet	1.19	0.254	-0.019	0.046	0.173	0.099
Lasso	1.189	0.249	-0.034	0.039	0.177	0.097
ExtraTrees	1.186	0.244	0.042	0.121	0.216	0.151
SVR	1.184	0.232	0.047	0.058	0.181	0.123
RandomForest	1.181	0.244	0.016	0.056	0.191	0.133
