Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
DecisionTree	1.71	0.475	0.239	0.157	0.183	0.048
RandomForest	1.158	0.393	0.537	0.164	0.21	0.017
ExtraTrees	1.15	0.41	0.544	0.153	0.223	0.024
Bagging	1.157	0.399	0.54	0.164	0.214	0.017
AdaBoost	1.6	0.443	0.091	0.196	0.218	0.04
GradientBoost	1.215	0.428	0.471	0.162	0.222	0.045
SVR	1.344	0.474	0.178	0.13	0.218	0.038
ElasticNet	1.359	0.482	0.113	0.146	0.194	0.033
Lasso	1.364	0.48	0.074	0.169	0.19	0.036
MLP	2.413	1.904	0.069	0.128	0.188	0.05
