Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	6.535	6.663	0.066	0.038	0.222	0.019
DecisionTree	1.603	0.04	0.261	0.112	0.271	0.058
AdaBoost	1.543	0.092	0.141	0.106	0.235	0.043
Lasso	1.325	0.109	0.11	0.016	0.235	0.023
ElasticNet	1.323	0.108	0.128	0.024	0.243	0.025
SVR	1.305	0.108	0.199	0.032	0.267	0.032
GradientBoost	1.187	0.057	0.461	0.051	0.351	0.067
Bagging	1.153	0.065	0.509	0.065	0.423	0.07
RandomForest	1.15	0.065	0.513	0.063	0.424	0.073
ExtraTrees	1.142	0.053	0.518	0.061	0.449	0.071
