Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	2.427	0.384	1.689	0.222	-2.408	0.706	0.121	0.07	0.188	0.053
DecisionTree	1.537	0.231	1.055	0.165	-0.394	0.391	0.319	0.189	0.386	0.215
ElasticNet	1.347	0.093	0.972	0.079	-0.053	0.075	0.205	0.059	0.315	0.066
Lasso	1.339	0.092	0.963	0.072	-0.039	0.067	0.183	0.06	0.322	0.074
SVR	1.298	0.09	0.91	0.076	0.025	0.031	0.179	0.089	0.359	0.045
AdaBoost	1.206	0.066	0.889	0.046	0.156	0.041	0.413	0.046	0.514	0.075
GradientBoost	1.162	0.119	0.828	0.067	0.219	0.084	0.488	0.075	0.516	0.109
Bagging	1.136	0.118	0.795	0.07	0.253	0.092	0.513	0.083	0.593	0.14
RandomForest	1.134	0.111	0.791	0.066	0.255	0.088	0.513	0.08	0.583	0.15
ExtraTrees	1.11	0.129	0.747	0.072	0.287	0.092	0.547	0.077	0.625	0.151
