Methods	RMSE_avg	RMSE_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	5.37	4.409	0.083	0.05	0.211	0.067
DecisionTree	1.606	0.118	0.287	0.09	0.306	0.043
ElasticNet	1.324	0.099	0.242	0.07	0.311	0.113
Lasso	1.316	0.114	0.221	0.078	0.297	0.085
SVR	1.307	0.105	0.155	0.1	0.31	0.057
GradientBoost	1.206	0.134	0.443	0.054	0.505	0.081
AdaBoost	1.204	0.123	0.428	0.076	0.488	0.078
RandomForest	1.144	0.167	0.511	0.095	0.544	0.069
Bagging	1.137	0.164	0.506	0.097	0.541	0.073
ExtraTrees	1.108	0.179	0.539	0.101	0.547	0.061
