Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	AUPRC_avg	AUPRC_std
MLP	2.281	0.356	1.504	0.137	-2.204	0.779	0.036	0.12	0.179	0.053
DecisionTree	1.528	0.11	1.114	0.084	-0.456	0.296	0.331	0.083	0.348	0.087
ElasticNet	1.349	0.096	0.96	0.058	-0.116	0.084	0.18	0.02	0.231	0.009
Lasso	1.33	0.086	0.944	0.051	-0.085	0.071	0.161	0.034	0.245	0.025
SVR	1.275	0.1	0.898	0.06	0.005	0.063	0.165	0.154	0.288	0.114
AdaBoost	1.178	0.096	0.889	0.053	0.152	0.025	0.419	0.023	0.47	0.054
GradientBoost	1.153	0.11	0.829	0.035	0.176	0.15	0.483	0.101	0.54	0.07
Bagging	1.131	0.114	0.803	0.055	0.214	0.1	0.485	0.093	0.535	0.061
RandomForest	1.13	0.114	0.802	0.056	0.216	0.104	0.486	0.095	0.528	0.074
ExtraTrees	1.077	0.127	0.748	0.057	0.289	0.097	0.56	0.079	0.629	0.026
