Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std
MLP	10.051	2.776	7.445	2.523	-186.629	109.351	-0.359	0.249
ElasticNet	1.676	0.738	1.212	0.478	-4.22	5.446	0.427	0.225
Lasso	1.552	0.35	1.123	0.186	-3.109	3.066	0.386	0.272
DecisionTree	1.334	0.394	1.015	0.288	-1.67	1.548	0.219	0.251
GradientBoost	1.059	0.371	0.78	0.274	-0.467	0.688	0.026	0.54
AdaBoost	1.011	0.255	0.686	0.19	-0.356	0.237	-0.128	0.33
Bagging	0.99	0.306	0.692	0.197	-0.247	0.261	0.204	0.241
RandomForest	0.977	0.305	0.684	0.192	-0.212	0.26	0.254	0.21
ExtraTrees	0.972	0.219	0.696	0.185	-0.286	0.3	0.247	0.31
SVR	0.952	0.305	0.634	0.222	-0.193	0.358	0.146	0.281
