Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std
MLP	4.016	1.572	2.714	0.996	-8.489	4.701	0.134	0.373
DecisionTree	1.689	0.503	1.194	0.306	-0.539	0.313	0.208	0.263
ElasticNet	1.521	0.16	1.118	0.131	-0.619	1.05	0.46	0.206
SVR	1.462	0.388	1.029	0.256	-0.168	0.139	-0.101	0.211
Lasso	1.438	0.158	1.075	0.088	-0.353	0.74	0.451	0.163
GradientBoost	1.299	0.227	0.97	0.14	-0.017	0.346	0.388	0.265
Bagging	1.268	0.28	0.91	0.165	0.086	0.205	0.442	0.262
AdaBoost	1.264	0.403	0.844	0.23	0.12	0.269	0.497	0.182
RandomForest	1.256	0.268	0.906	0.164	0.102	0.191	0.458	0.262
ExtraTrees	1.256	0.252	0.92	0.175	0.009	0.562	0.423	0.304
